2023-07-07T04:26:09.574-0400 DEBUG Adding type registration java.lang.Integer -> org.hibernate.type.BasicTypeReference@4b45dcb8
2023-07-07T04:26:09.574-0400 DEBUG Adding type registration long -> org.hibernate.type.BasicTypeReference@7216fb24
2023-07-07T04:26:09.574-0400 DEBUG Adding type registration long -> org.hibernate.type.BasicTypeReference@7216fb24
2023-07-07T04:26:09.574-0400 DEBUG Adding type registration java.lang.Long -> org.hibernate.type.BasicTypeReference@7216fb24
2023-07-07T04:26:09.575-0400 DEBUG Adding type registration float -> org.hibernate.type.BasicTypeReference@2072acb2
2023-07-07T04:26:09.575-0400 DEBUG Adding type registration float -> org.hibernate.type.BasicTypeReference@2072acb2
2023-07-07T04:26:09.575-0400 DEBUG Adding type registration java.lang.Float -> org.hibernate.type.BasicTypeReference@2072acb2
2023-07-07T04:26:09.575-0400 DEBUG Adding type registration double -> org.hibernate.type.BasicTypeReference@50ecde95
2023-07-07T04:26:09.575-0400 DEBUG Adding type registration double -> org.hibernate.type.BasicTypeReference@50ecde95
2023-07-07T04:26:09.575-0400 DEBUG Adding type registration java.lang.Double -> org.hibernate.type.BasicTypeReference@50ecde95
2023-07-07T04:26:09.575-0400 DEBUG Adding type registration big_integer -> org.hibernate.type.BasicTypeReference@35a9782c
2023-07-07T04:26:09.575-0400 DEBUG Adding type registration java.math.BigInteger -> org.hibernate.type.BasicTypeReference@35a9782c
2023-07-07T04:26:09.575-0400 DEBUG Adding type registration big_decimal -> org.hibernate.type.BasicTypeReference@70a36a66
2023-07-07T04:26:09.575-0400 DEBUG Adding type registration java.math.BigDecimal -> org.hibernate.type.BasicTypeReference@70a36a66
2023-07-07T04:26:09.575-0400 DEBUG Adding type registration character -> org.hibernate.type.BasicTypeReference@45815ffc
2023-07-07T04:26:09.576-0400 DEBUG Adding type registration char -> org.hibernate.type.BasicTypeReference@45815ffc
2023-07-07T04:26:09.576-0400 DEBUG Adding type registration java.lang.Character -> org.hibernate.type.BasicTypeReference@45815ffc
2023-07-07T04:26:09.576-0400 DEBUG Adding type registration character_nchar -> org.hibernate.type.BasicTypeReference@732f29af
2023-07-07T04:26:09.576-0400 DEBUG Adding type registration string -> org.hibernate.type.BasicTypeReference@d3957fe
